centralbank,entity id,centralbankLabel,function name,abstract line,eng concrete line,eng lexicon line
http://www.wikidata.org/entity/Q670723,Q670723,Austrian National Bank,Q670723_Austrian_National_Bank,Q670723_Austrian_National_Bank : CentralBank ;,Q670723_Austrian_National_Bank = mkNP Austrian_National_Bank_N ;,"Austrian_National_Bank_N : N = mkN ""Austrian National Bank"" ;"
http://www.wikidata.org/entity/Q4056136,Q4056136,Austrian-Hungarian Bank,Q4056136_Austrian_Hungarian_Bank,Q4056136_Austrian_Hungarian_Bank : CentralBank ;,Q4056136_Austrian_Hungarian_Bank = mkNP Austrian_Hungarian_Bank_N ;,"Austrian_Hungarian_Bank_N : N = mkN ""Austrian-Hungarian Bank"" ;"
http://www.wikidata.org/entity/Q189972,Q189972,Bank of Central African States,Q189972_Bank_of_Central_African_States,Q189972_Bank_of_Central_African_States : CentralBank ;,Q189972_Bank_of_Central_African_States = mkNP Bank_of_Central_African_States_N ;,"Bank_of_Central_African_States_N : N = mkN ""Bank of Central African States"" ;"
http://www.wikidata.org/entity/Q620942,Q620942,Central Bank of West African States,Q620942_Central_Bank_of_West_African_States,Q620942_Central_Bank_of_West_African_States : CentralBank ;,Q620942_Central_Bank_of_West_African_States = mkNP Central_Bank_of_West_African_States_N ;,"Central_Bank_of_West_African_States_N : N = mkN ""Central Bank of West African States"" ;"
http://www.wikidata.org/entity/Q1210260,Q1210260,Eastern Caribbean Central Bank,Q1210260_Eastern_Caribbean_Central_Bank,Q1210260_Eastern_Caribbean_Central_Bank : CentralBank ;,Q1210260_Eastern_Caribbean_Central_Bank = mkNP Eastern_Caribbean_Central_Bank_N ;,"Eastern_Caribbean_Central_Bank_N : N = mkN ""Eastern Caribbean Central Bank"" ;"
http://www.wikidata.org/entity/Q8901,Q8901,European Central Bank,Q8901_European_Central_Bank,Q8901_European_Central_Bank : CentralBank ;,Q8901_European_Central_Bank = mkNP European_Central_Bank_N ;,"European_Central_Bank_N : N = mkN ""European Central Bank"" ;"
http://www.wikidata.org/entity/Q1194664,Q1194664,National Bank of Serbia,Q1194664_National_Bank_of_Serbia,Q1194664_National_Bank_of_Serbia : CentralBank ;,Q1194664_National_Bank_of_Serbia = mkNP National_Bank_of_Serbia_N ;,"National_Bank_of_Serbia_N : N = mkN ""National Bank of Serbia"" ;"
