language,entity id,languageLabel,function name,abstract line,eng concrete line,eng lexicon line
http://www.wikidata.org/entity/Q33243,Q33243,Bambara,Q33243_Bambara,Q33243_Bambara : Language ;,Q33243_Bambara = mkNP Bambara_N ;,"Bambara_N : N = mkN ""Bambara"" ;"
http://www.wikidata.org/entity/Q9610,Q9610,Bangla,Q9610_Bangla,Q9610_Bangla : Language ;,Q9610_Bangla = mkNP Bangla_N ;,"Bangla_N : N = mkN ""Bangla"" ;"
http://www.wikidata.org/entity/Q33151,Q33151,Banjar,Q33151_Banjar,Q33151_Banjar : Language ;,Q33151_Banjar = mkNP Banjar_N ;,"Banjar_N : N = mkN ""Banjar"" ;"
http://www.wikidata.org/entity/Q33219,Q33219,Banyumasan Javanese,Q33219_Banyumasan_Javanese,Q33219_Banyumasan_Javanese : Language ;,Q33219_Banyumasan_Javanese = mkNP Banyumasan_Javanese_N ;,"Banyumasan_Javanese_N : N = mkN ""Banyumasan Javanese"" ;"
http://www.wikidata.org/entity/Q35107,Q35107,Baoulé,Q35107_Baoule,Q35107_Baoule : Language ;,Q35107_Baoule = mkNP Baoule_N ;,"Baoule_N : N = mkN ""Baoulé"" ;"
http://www.wikidata.org/entity/Q13389,Q13389,Bashkir,Q13389_Bashkir,Q13389_Bashkir : Language ;,Q13389_Bashkir = mkNP Bashkir_N ;,"Bashkir_N : N = mkN ""Bashkir"" ;"
http://www.wikidata.org/entity/Q29540,Q29540,Bavarian,Q29540_Bavarian,Q29540_Bavarian : Language ;,Q29540_Bavarian = mkNP Bavarian_N ;,"Bavarian_N : N = mkN ""Bavarian"" ;"
http://www.wikidata.org/entity/Q33025,Q33025,Beja,Q33025_Beja,Q33025_Beja : Language ;,Q33025_Beja = mkNP Beja_N ;,"Beja_N : N = mkN ""Beja"" ;"
http://www.wikidata.org/entity/Q9091,Q9091,Belarusian,Q9091_Belarusian,Q9091_Belarusian : Language ;,Q9091_Belarusian = mkNP Belarusian_N ;,"Belarusian_N : N = mkN ""Belarusian"" ;"
http://www.wikidata.org/entity/Q33052,Q33052,Bemba,Q33052_Bemba,Q33052_Bemba : Language ;,Q33052_Bemba = mkNP Bemba_N ;,"Bemba_N : N = mkN ""Bemba"" ;"
http://www.wikidata.org/entity/Q33229,Q33229,Bhili,Q33229_Bhili,Q33229_Bhili : Language ;,Q33229_Bhili = mkNP Bhili_N ;,"Bhili_N : N = mkN ""Bhili"" ;"
http://www.wikidata.org/entity/Q33268,Q33268,Bhojpuri,Q33268_Bhojpuri,Q33268_Bhojpuri : Language ;,Q33268_Bhojpuri = mkNP Bhojpuri_N ;,"Bhojpuri_N : N = mkN ""Bhojpuri"" ;"
http://www.wikidata.org/entity/Q33223,Q33223,Bodo,Q33223_Bodo,Q33223_Bodo : Language ;,Q33223_Bodo = mkNP Bodo_N ;,"Bodo_N : N = mkN ""Bodo"" ;"
http://www.wikidata.org/entity/Q25167,Q25167,Bokmål,Q25167_Bokmal,Q25167_Bokmal : Language ;,Q25167_Bokmal = mkNP Bokmal_N ;,"Bokmal_N : N = mkN ""Bokmål"" ;"
http://www.wikidata.org/entity/Q34831,Q34831,Bonol,Q34831_Bonol,Q34831_Bonol : Language ;,Q34831_Bonol = mkNP Bonol_N ;,"Bonol_N : N = mkN ""Bonol"" ;"
http://www.wikidata.org/entity/Q35100,Q35100,Bouyei,Q35100_Bouyei,Q35100_Bouyei : Language ;,Q35100_Bouyei = mkNP Bouyei_N ;,"Bouyei_N : N = mkN ""Bouyei"" ;"
http://www.wikidata.org/entity/Q33202,Q33202,Brahui,Q33202_Brahui,Q33202_Brahui : Language ;,Q33202_Brahui = mkNP Brahui_N ;,"Brahui_N : N = mkN ""Brahui"" ;"
http://www.wikidata.org/entity/Q3436689,Q3436689,Brazilian Sign Language,Q3436689_Brazilian_Sign_Language,Q3436689_Brazilian_Sign_Language : Language ;,Q3436689_Brazilian_Sign_Language = mkNP Brazilian_Sign_Language_N ;,"Brazilian_Sign_Language_N : N = mkN ""Brazilian Sign Language"" ;"
http://www.wikidata.org/entity/Q33190,Q33190,Bugis,Q33190_Bugis,Q33190_Bugis : Language ;,Q33190_Bugis = mkNP Bugis_N ;,"Bugis_N : N = mkN ""Bugis"" ;"
http://www.wikidata.org/entity/Q7918,Q7918,Bulgarian,Q7918_Bulgarian,Q7918_Bulgarian : Language ;,Q7918_Bulgarian = mkNP Bulgarian_N ;,"Bulgarian_N : N = mkN ""Bulgarian"" ;"
http://www.wikidata.org/entity/Q9228,Q9228,Burmese,Q9228_Burmese,Q9228_Burmese : Language ;,Q9228_Burmese = mkNP Burmese_N ;,"Burmese_N : N = mkN ""Burmese"" ;"
http://www.wikidata.org/entity/Q35541,Q35541,Cameroon Pidgin,Q35541_Cameroon_Pidgin,Q35541_Cameroon_Pidgin : Language ;,Q35541_Cameroon_Pidgin = mkNP Cameroon_Pidgin_N ;,"Cameroon_Pidgin_N : N = mkN ""Cameroon Pidgin"" ;"
http://www.wikidata.org/entity/Q9186,Q9186,Cantonese,Q9186_Cantonese,Q9186_Cantonese : Language ;,Q9186_Cantonese = mkNP Cantonese_N ;,"Cantonese_N : N = mkN ""Cantonese"" ;"
http://www.wikidata.org/entity/Q7026,Q7026,Catalan,Q7026_Catalan,Q7026_Catalan : Language ;,Q7026_Catalan = mkNP Catalan_N ;,"Catalan_N : N = mkN ""Catalan"" ;"
http://www.wikidata.org/entity/Q33239,Q33239,Cebuano,Q33239_Cebuano,Q33239_Cebuano : Language ;,Q33239_Cebuano = mkNP Cebuano_N ;,"Cebuano_N : N = mkN ""Cebuano"" ;"
http://www.wikidata.org/entity/Q49741,Q49741,Central Atlas Tamazight,Q49741_Central_Atlas_Tamazight,Q49741_Central_Atlas_Tamazight : Language ;,Q49741_Central_Atlas_Tamazight = mkNP Central_Atlas_Tamazight_N ;,"Central_Atlas_Tamazight_N : N = mkN ""Central Atlas Tamazight"" ;"
http://www.wikidata.org/entity/Q33284,Q33284,Central Bikol,Q33284_Central_Bikol,Q33284_Central_Bikol : Language ;,Q33284_Central_Bikol = mkNP Central_Bikol_N ;,"Central_Bikol_N : N = mkN ""Central Bikol"" ;"
http://www.wikidata.org/entity/Q5061628,Q5061628,Central Pashto,Q5061628_Central_Pashto,Q5061628_Central_Pashto : Language ;,Q5061628_Central_Pashto = mkNP Central_Pashto_N ;,"Central_Pashto_N : N = mkN ""Central Pashto"" ;"
http://www.wikidata.org/entity/Q33350,Q33350,Chechen,Q33350_Chechen,Q33350_Chechen : Language ;,Q33350_Chechen = mkNP Chechen_N ;,"Chechen_N : N = mkN ""Chechen"" ;"
http://www.wikidata.org/entity/Q33273,Q33273,Chewa,Q33273_Chewa,Q33273_Chewa : Language ;,Q33273_Chewa = mkNP Chewa_N ;,"Chewa_N : N = mkN ""Chewa"" ;"
http://www.wikidata.org/entity/Q33158,Q33158,Chhattisgarhi,Q33158_Chhattisgarhi,Q33158_Chhattisgarhi : Language ;,Q33158_Chhattisgarhi = mkNP Chhattisgarhi_N ;,"Chhattisgarhi_N : N = mkN ""Chhattisgarhi"" ;"
http://www.wikidata.org/entity/Q7850,Q7850,Chinese,Q7850_Chinese,Q7850_Chinese : Language ;,Q7850_Chinese = mkNP Chinese_N ;,"Chinese_N : N = mkN ""Chinese"" ;"
http://www.wikidata.org/entity/Q33173,Q33173,Chittagonian,Q33173_Chittagonian,Q33173_Chittagonian : Language ;,Q33173_Chittagonian = mkNP Chittagonian_N ;,"Chittagonian_N : N = mkN ""Chittagonian"" ;"
http://www.wikidata.org/entity/Q110276967,Q110276967,Ciamis Sundanese,Q110276967_Ciamis_Sundanese,Q110276967_Ciamis_Sundanese : Language ;,Q110276967_Ciamis_Sundanese = mkNP Ciamis_Sundanese_N ;,"Ciamis_Sundanese_N : N = mkN ""Ciamis Sundanese"" ;"
http://www.wikidata.org/entity/Q10961696,Q10961696,Congo Swahili,Q10961696_Congo_Swahili,Q10961696_Congo_Swahili : Language ;,Q10961696_Congo_Swahili = mkNP Congo_Swahili_N ;,"Congo_Swahili_N : N = mkN ""Congo Swahili"" ;"
http://www.wikidata.org/entity/Q6654,Q6654,Croatian,Q6654_Croatian,Q6654_Croatian : Language ;,Q6654_Croatian = mkNP Croatian_N ;,"Croatian_N : N = mkN ""Croatian"" ;"
http://www.wikidata.org/entity/Q35147,Q35147,Cusco Quechua,Q35147_Cusco_Quechua,Q35147_Cusco_Quechua : Language ;,Q35147_Cusco_Quechua = mkNP Cusco_Quechua_N ;,"Cusco_Quechua_N : N = mkN ""Cusco Quechua"" ;"
http://www.wikidata.org/entity/Q9056,Q9056,Czech,Q9056_Czech,Q9056_Czech : Language ;,Q9056_Czech = mkNP Czech_N ;,"Czech_N : N = mkN ""Czech"" ;"
http://www.wikidata.org/entity/Q35159,Q35159,Dagaare,Q35159_Dagaare,Q35159_Dagaare : Language ;,Q35159_Dagaare = mkNP Dagaare_N ;,"Dagaare_N : N = mkN ""Dagaare"" ;"
http://www.wikidata.org/entity/Q32238,Q32238,Dagbani,Q32238_Dagbani,Q32238_Dagbani : Language ;,Q32238_Dagbani = mkNP Dagbani_N ;,"Dagbani_N : N = mkN ""Dagbani"" ;"
http://www.wikidata.org/entity/Q669431,Q669431,Daknī,Q669431_Dakni,Q669431_Dakni : Language ;,Q669431_Dakni = mkNP Dakni_N ;,"Dakni_N : N = mkN ""Daknī"" ;"
http://www.wikidata.org/entity/Q9035,Q9035,Danish,Q9035_Danish,Q9035_Danish : Language ;,Q9035_Danish = mkNP Danish_N ;,"Danish_N : N = mkN ""Danish"" ;"
http://www.wikidata.org/entity/Q178440,Q178440,Dari,Q178440_Dari,Q178440_Dari : Language ;,Q178440_Dari = mkNP Dari_N ;,"Dari_N : N = mkN ""Dari"" ;"
http://www.wikidata.org/entity/Q5414796,Q5414796,Dholuo,Q5414796_Dholuo,Q5414796_Dholuo : Language ;,Q5414796_Dholuo = mkNP Dholuo_N ;,"Dholuo_N : N = mkN ""Dholuo"" ;"
http://www.wikidata.org/entity/Q633359,Q633359,Dhundari,Q633359_Dhundari,Q633359_Dhundari : Language ;,Q633359_Dhundari = mkNP Dhundari_N ;,"Dhundari_N : N = mkN ""Dhundari"" ;"
http://www.wikidata.org/entity/Q56466,Q56466,Dinka,Q56466_Dinka,Q56466_Dinka : Language ;,Q56466_Dinka = mkNP Dinka_N ;,"Dinka_N : N = mkN ""Dinka"" ;"
http://www.wikidata.org/entity/Q32706,Q32706,Dioula,Q32706_Dioula,Q32706_Dioula : Language ;,Q32706_Dioula = mkNP Dioula_N ;,"Dioula_N : N = mkN ""Dioula"" ;"
http://www.wikidata.org/entity/Q32730,Q32730,Dogri,Q32730_Dogri,Q32730_Dogri : Language ;,Q32730_Dogri = mkNP Dogri_N ;,"Dogri_N : N = mkN ""Dogri"" ;"
http://www.wikidata.org/entity/Q35394,Q35394,Domari,Q35394_Domari,Q35394_Domari : Language ;,Q35394_Domari = mkNP Domari_N ;,"Domari_N : N = mkN ""Domari"" ;"
http://www.wikidata.org/entity/Q7411,Q7411,Dutch,Q7411_Dutch,Q7411_Dutch : Language ;,Q7411_Dutch = mkNP Dutch_N ;,"Dutch_N : N = mkN ""Dutch"" ;"
http://www.wikidata.org/entity/Q36455,Q36455,Eastern Min,Q36455_Eastern_Min,Q36455_Eastern_Min : Language ;,Q36455_Eastern_Min = mkNP Eastern_Min_N ;,"Eastern_Min_N : N = mkN ""Eastern Min"" ;"
http://www.wikidata.org/entity/Q12953177,Q12953177,Eastern Tamang,Q12953177_Eastern_Tamang,Q12953177_Eastern_Tamang : Language ;,Q12953177_Eastern_Tamang = mkNP Eastern_Tamang_N ;,"Eastern_Tamang_N : N = mkN ""Eastern Tamang"" ;"
http://www.wikidata.org/entity/Q35375,Q35375,Edo,Q35375_Edo,Q35375_Edo : Language ;,Q35375_Edo = mkNP Edo_N ;,"Edo_N : N = mkN ""Edo"" ;"
