centralbank,entity id,centralbankLabel,function name
http://www.wikidata.org/entity/Q670723,Q670723,Austrian National Bank,Q670723_Austrian_National_Bank
http://www.wikidata.org/entity/Q4056136,Q4056136,Austrian-Hungarian Bank,Q4056136_Austrian_Hungarian_Bank
http://www.wikidata.org/entity/Q189972,Q189972,Bank of Central African States,Q189972_Bank_of_Central_African_States
http://www.wikidata.org/entity/Q620942,Q620942,Central Bank of West African States,Q620942_Central_Bank_of_West_African_States
http://www.wikidata.org/entity/Q1210260,Q1210260,Eastern Caribbean Central Bank,Q1210260_Eastern_Caribbean_Central_Bank
http://www.wikidata.org/entity/Q8901,Q8901,European Central Bank,Q8901_European_Central_Bank
http://www.wikidata.org/entity/Q1194664,Q1194664,National Bank of Serbia,Q1194664_National_Bank_of_Serbia
