city,entity id,cityLabel_en,function name
http://www.wikidata.org/entity/Q1858,Q1858,Hanoi,Q1858_Hanoi
http://www.wikidata.org/entity/Q3921,Q3921,Harare,Q3921_Harare
http://www.wikidata.org/entity/Q11409340,Q11409340,Harunotsuji Site,Q11409340_Harunotsuji_Site
http://www.wikidata.org/entity/Q1563,Q1563,Havana,Q1563_Havana
http://www.wikidata.org/entity/Q1757,Q1757,Helsinki,Q1757_Helsinki
http://www.wikidata.org/entity/Q40921,Q40921,Honiara,Q40921_Honiara
http://www.wikidata.org/entity/Q3322143,Q3322143,Huari,Q3322143_Huari
http://www.wikidata.org/entity/Q1362,Q1362,Islamabad,Q1362_Islamabad
http://www.wikidata.org/entity/Q3630,Q3630,Jakarta,Q3630_Jakarta
http://www.wikidata.org/entity/Q1218,Q1218,Jerusalem,Q1218_Jerusalem
http://www.wikidata.org/entity/Q1947,Q1947,Juba,Q1947_Juba
http://www.wikidata.org/entity/Q5838,Q5838,Kabul,Q5838_Kabul
http://www.wikidata.org/entity/Q3894,Q3894,Kampala,Q3894_Kampala
http://www.wikidata.org/entity/Q3037,Q3037,Kathmandu,Q3037_Kathmandu
http://www.wikidata.org/entity/Q1963,Q1963,Khartoum,Q1963_Khartoum
http://www.wikidata.org/entity/Q3859,Q3859,Kigali,Q3859_Kigali
http://www.wikidata.org/entity/Q34692,Q34692,Kingston,Q34692_Kingston
http://www.wikidata.org/entity/Q41474,Q41474,Kingstown,Q41474_Kingstown
http://www.wikidata.org/entity/Q3838,Q3838,Kinshasa,Q3838_Kinshasa
http://www.wikidata.org/entity/Q1865,Q1865,Kuala Lumpur,Q1865_Kuala_Lumpur
http://www.wikidata.org/entity/Q35178,Q35178,Kuwait City,Q35178_Kuwait_City
http://www.wikidata.org/entity/Q1899,Q1899,Kyiv,Q1899_Kyiv
http://www.wikidata.org/entity/Q4120832,Q4120832,Königsberg,Q4120832_Konigsberg
http://www.wikidata.org/entity/Q1491,Q1491,La Paz,Q1491_La_Paz
http://www.wikidata.org/entity/Q60379482,Q60379482,Laugram,Q60379482_Laugram
http://www.wikidata.org/entity/Q3825,Q3825,Libreville,Q3825_Libreville
http://www.wikidata.org/entity/Q3876,Q3876,Lilongwe,Q3876_Lilongwe
http://www.wikidata.org/entity/Q2868,Q2868,Lima,Q2868_Lima
http://www.wikidata.org/entity/Q597,Q597,Lisbon,Q597_Lisbon
