currency,entity id,currencyLabel_en,function name
http://www.wikidata.org/entity/Q163712,Q163712,Malaysian ringgit,Q163712_Malaysian_ringgit
http://www.wikidata.org/entity/Q206600,Q206600,Maldivian rufiyaa,Q206600_Maldivian_rufiyaa
http://www.wikidata.org/entity/Q207024,Q207024,Mauritanian ouguiya,Q207024_Mauritanian_ouguiya
http://www.wikidata.org/entity/Q212967,Q212967,Mauritian rupee,Q212967_Mauritian_rupee
http://www.wikidata.org/entity/Q4730,Q4730,Mexican peso,Q4730_Mexican_peso
http://www.wikidata.org/entity/Q181129,Q181129,Moldovan leu,Q181129_Moldovan_leu
http://www.wikidata.org/entity/Q200192,Q200192,Moroccan dirham,Q200192_Moroccan_dirham
http://www.wikidata.org/entity/Q200753,Q200753,Mozambican metical,Q200753_Mozambican_metical
http://www.wikidata.org/entity/Q202462,Q202462,Namibian dollar,Q202462_Namibian_dollar
http://www.wikidata.org/entity/Q202895,Q202895,Nepalese rupee,Q202895_Nepalese_rupee
http://www.wikidata.org/entity/Q522701,Q522701,Netherlands Antillean guilder,Q522701_Netherlands_Antillean_guilder
http://www.wikidata.org/entity/Q208526,Q208526,New Taiwan dollar,Q208526_New_Taiwan_dollar
http://www.wikidata.org/entity/Q1472704,Q1472704,New Zealand dollar,Q1472704_New_Zealand_dollar
http://www.wikidata.org/entity/Q207312,Q207312,Nicaraguan córdoba,Q207312_Nicaraguan_cordoba
http://www.wikidata.org/entity/Q4165057,Q4165057,Niue dollar,Q4165057_Niue_dollar
http://www.wikidata.org/entity/Q106720,Q106720,North Korean won,Q106720_North_Korean_won
http://www.wikidata.org/entity/Q177875,Q177875,North Macedonian denar,Q177875_North_Macedonian_denar
http://www.wikidata.org/entity/Q132643,Q132643,Norwegian krone,Q132643_Norwegian_krone
http://www.wikidata.org/entity/Q204656,Q204656,Nuevo sol,Q204656_Nuevo_sol
http://www.wikidata.org/entity/Q272290,Q272290,Omani rial,Q272290_Omani_rial
http://www.wikidata.org/entity/Q188289,Q188289,Pakistani rupee,Q188289_Pakistani_rupee
http://www.wikidata.org/entity/Q210472,Q210472,Panamanian balboa,Q210472_Panamanian_balboa
http://www.wikidata.org/entity/Q207514,Q207514,Paraguayan guaraní,Q207514_Paraguayan_guarani
http://www.wikidata.org/entity/Q17193,Q17193,Philippine peso,Q17193_Philippine_peso
http://www.wikidata.org/entity/Q206386,Q206386,Qatari riyal,Q206386_Qatari_riyal
http://www.wikidata.org/entity/Q952064,Q952064,Roman currency,Q952064_Roman_currency
http://www.wikidata.org/entity/Q131645,Q131645,Romanian Leu,Q131645_Romanian_Leu
http://www.wikidata.org/entity/Q41044,Q41044,Russian ruble,Q41044_Russian_ruble
http://www.wikidata.org/entity/Q4741,Q4741,Rwandan franc,Q4741_Rwandan_franc
http://www.wikidata.org/entity/Q70019827,Q70019827,Ryukyuan mon,Q70019827_Ryukyuan_mon
http://www.wikidata.org/entity/Q11573698,Q11573698,Ryūkyū Tsūhō,Q11573698_Ryukyu_Tsuho
http://www.wikidata.org/entity/Q96051466,Q96051466,SOV,Q96051466_SOV
http://www.wikidata.org/entity/Q4588,Q4588,Samoan Tālā,Q4588_Samoan_Tala
http://www.wikidata.org/entity/Q199857,Q199857,Saudi riyal,Q199857_Saudi_riyal
http://www.wikidata.org/entity/Q11362550,Q11362550,Sekō Tsūhō,Q11362550_Seko_Tsuho
http://www.wikidata.org/entity/Q172524,Q172524,Serbian dinar,Q172524_Serbian_dinar
http://www.wikidata.org/entity/Q4595,Q4595,Seychellois rupee,Q4595_Seychellois_rupee
http://www.wikidata.org/entity/Q190951,Q190951,Singapore dollar,Q190951_Singapore_dollar
http://www.wikidata.org/entity/Q4597,Q4597,Solomon Islands dollar,Q4597_Solomon_Islands_dollar
http://www.wikidata.org/entity/Q4603,Q4603,Somali shilling,Q4603_Somali_shilling
http://www.wikidata.org/entity/Q244366,Q244366,South Sudanese pound,Q244366_South_Sudanese_pound
http://www.wikidata.org/entity/Q4596,Q4596,Sri Lankan rupee,Q4596_Sri_Lankan_rupee
http://www.wikidata.org/entity/Q271206,Q271206,Sudanese pound,Q271206_Sudanese_pound
http://www.wikidata.org/entity/Q202036,Q202036,Surinamese dollar,Q202036_Surinamese_dollar
http://www.wikidata.org/entity/Q122922,Q122922,Swedish krona,Q122922_Swedish_krona
http://www.wikidata.org/entity/Q25344,Q25344,Swiss franc,Q25344_Swiss_franc
http://www.wikidata.org/entity/Q240468,Q240468,Syrian pound,Q240468_Syrian_pound
http://www.wikidata.org/entity/Q193712,Q193712,São Tomé and Príncipe dobra,Q193712_Sao_Tome_and_Principe_dobra
http://www.wikidata.org/entity/Q11431840,Q11431840,Taise Tsūhō,Q11431840_Taise_Tsuho
http://www.wikidata.org/entity/Q199886,Q199886,Tajikistani somoni,Q199886_Tajikistani_somoni
http://www.wikidata.org/entity/Q4589,Q4589,Tanzanian shilling,Q4589_Tanzanian_shilling
