centralbank,centralbankLabel,centralbankDescription
http://www.wikidata.org/entity/Q8901,European Central Bank,central bank of the European Union and the eurozone
http://www.wikidata.org/entity/Q620942,Central Bank of West African States,central bank serving the West African Economic and Monetary Union
http://www.wikidata.org/entity/Q1210260,Eastern Caribbean Central Bank,central bank
http://www.wikidata.org/entity/Q189972,Bank of Central African States,central bank
http://www.wikidata.org/entity/Q670723,Austrian National Bank,Austria’s central bank
http://www.wikidata.org/entity/Q1194664,National Bank of Serbia,central bank of Serbia
http://www.wikidata.org/entity/Q4056136,Austrian-Hungarian Bank,"central bank of Austria-Hungary, 1878-1922"
